extension,linguist_language,vscode_language_id
.god,Ruby,ruby
.jbuilder,Ruby,ruby
.mspec,Ruby,ruby
.pluginspec,Ruby,ruby
.podspec,Ruby,ruby
.prawn,Ruby,ruby
.rabl,Ruby,ruby
.rake,Ruby,ruby
.rbi,Ruby,ruby
.rbuild,Ruby,ruby
.rbw,Ruby,ruby
.rbx,Ruby,ruby
.ru,Ruby,ruby
.ruby,Ruby,ruby
.spec,Ruby,ruby
.thor,Ruby,ruby
.watchr,Ruby,ruby
.rs,Rust,rust
.rs.in,Rust,rust
.sas,SAS,
.scss,SCSS,scss
.te,SELinux Policy,
.smt2,SMT,
.smt,SMT,
.z3,SMT,
.sparql,SPARQL,
.rq,SPARQL,
.sqf,SQF,
.hqf,SQF,
.sql,SQL,sql
.cql,SQL,sql
.ddl,SQL,sql
.inc,SQL,sql
.mysql,SQL,sql
.prc,SQL,sql
.tab,SQL,sql
.udf,SQL,sql
.viw,SQL,sql
.sql,SQLPL,
.db2,SQLPL,
.srt,SRecode Template,
.star,STAR,
.stl,STL,
.ston,STON,
.svg,SVG,
.i,SWIG,
.swg,SWIG,
.swig,SWIG,
.sage,Sage,
.sagews,Sage,
.sail,Sail,
.sls,SaltStack,
.sass,Sass,
.scala,Scala,
.kojo,Scala,
.sbt,Scala,
.sc,Scala,
.scaml,Scaml,
.scenic,Scenic,
.scm,Scheme,
.sch,Scheme,
.sld,Scheme,
.sls,Scheme,
.sps,Scheme,
.ss,Scheme,
.sci,Scilab,
.sce,Scilab,
.tst,Scilab,
.self,Self,
.shader,ShaderLab,shaderlab
.sh,Shell,shellscript
.bash,Shell,shellscript
.bats,Shell,shellscript
.cgi,Shell,shellscript
.command,Shell,shellscript
.fcgi,Shell,shellscript
.ksh,Shell,shellscript
.sh.in,Shell,shellscript
.tmux,Shell,shellscript
.tool,Shell,shellscript
.trigger,Shell,shellscript
.zsh,Shell,shellscript
.zsh-theme,Shell,shellscript
.sh-session,ShellSession,
.shen,Shen,
.sieve,Sieve,
.sfv,Simple File Verification,
.slang,Slang,
.sl,Slash,
.ice,Slice,
.slim,Slim,slim
.slint,Slint,
.cocci,SmPL,
.smali,Smali,
.st,Smalltalk,
.cs,Smalltalk,
.tpl,Smarty,
.smithy,Smithy,
.smk,Snakemake,
.snakefile,Snakemake,
.sol,Solidity,
.sp,SourcePawn,
.inc,SourcePawn,
.sfd,Spline Font Database,
.nut,Squirrel,
.stan,Stan,
.ml,Standard ML,
.fun,Standard ML,
.sig,Standard ML,
.sml,Standard ML,
.bzl,Starlark,
.star,Starlark,
.do,Stata,
.ado,Stata,
.doh,Stata,
.ihlp,Stata,
.mata,Stata,
.matah,Stata,
.sthlp,Stata,
.st,StringTemplate,
.styl,Stylus,stylus
.srt,SubRip Text,
.sss,SugarSS,
.sc,SuperCollider,
.scd,SuperCollider,
.svx,Survex data,
.svelte,Svelte,svelte
.sw,Sway,
.rnw,Sweave,
.swift,Swift,swift
.sv,SystemVerilog,
.svh,SystemVerilog,
.vh,SystemVerilog,
.8xp,TI Program,
.8xp.txt,TI Program,
.tlv,TL-Verilog,
.tla,TLA,
.toml,TOML,
.toml.example,TOML,
.tsp,TSPLIB data,
.sql,TSQL,
.tsv,TSV,
.vcf,TSV,
.tsx,TSX,
.txl,TXL,
.tact,Tact,
.talon,Talon,
.tcl,Tcl,
.adp,Tcl,
.sdc,Tcl,
.tcl.in,Tcl,
.tm,Tcl,
.xdc,Tcl,
.tcsh,Tcsh,
.csh,Tcsh,
.tex,TeX,tex
.aux,TeX,tex
.bbx,TeX,tex
.cbx,TeX,tex
.cls,TeX,tex
.dtx,TeX,tex
.ins,TeX,tex
.lbx,TeX,tex
.ltx,TeX,tex
.mkii,TeX,tex
.mkiv,TeX,tex
.mkvi,TeX,tex
.sty,TeX,tex
.toc,TeX,tex
.tea,Tea,
.t,Terra,
.tftpl,Terraform Template,
.texinfo,Texinfo,
.texi,Texinfo,
.txi,Texinfo,
.txt,Text,plaintext
.fr,Text,plaintext
.nb,Text,plaintext
.ncl,Text,plaintext
.no,Text,plaintext
.TextGrid,TextGrid,
.textile,Textile,
.thrift,Thrift,
.toit,Toit,
.scm,Tree-sitter Query,
.t,Turing,
.tu,Turing,
.ttl,Turtle,
.twig,Twig,
.tl,Type Language,
.ts,TypeScript,typescript
.cts,TypeScript,typescript
.mts,TypeScript,typescript
.tsp,TypeSpec,
.typ,Typst,
.upc,Unified Parallel C,
.anim,Unity3D Asset,
.asset,Unity3D Asset,
.mask,Unity3D Asset,
.mat,Unity3D Asset,
.meta,Unity3D Asset,
.prefab,Unity3D Asset,
.unity,Unity3D Asset,
.s,Unix Assembly,
.ms,Unix Assembly,
.uno,Uno,
.uc,UnrealScript,
.uplc,Untyped Plutus Core,
.ur,UrWeb,
.urs,UrWeb,
.v,V,
.bas,VBA,
.cls,VBA,
.frm,VBA,
.vba,VBA,
.vbs,VBScript,
.vcl,VCL,
.vhdl,VHDL,
.vhd,VHDL,
.vhf,VHDL,
.vhi,VHDL,
.vho,VHDL,
.vhs,VHDL,
.vht,VHDL,
.vhw,VHDL,
.vala,Vala,
.vapi,Vala,
.vdf,Valve Data Format,
.vtl,Velocity Template Language,
.vto,Vento,
.v,Verilog,
.veo,Verilog,
.txt,Vim Help File,
.vim,Vim Script,
.vba,Vim Script,
.vimrc,Vim Script,
.vmb,Vim Script,
.snip,Vim Snippet,
.snippet,Vim Snippet,
.snippets,Vim Snippet,
.vb,Visual Basic .NET,
.vbhtml,Visual Basic .NET,
.bas,Visual Basic 6.0,
.cls,Visual Basic 6.0,
.ctl,Visual Basic 6.0,
.Dsr,Visual Basic 6.0,
.frm,Visual Basic 6.0,
.volt,Volt,
.vue,Vue,vue
.vy,Vyper,
.wdl,WDL,
.wgsl,WGSL,
.mtl,Wavefront Material,
.obj,Wavefront Object,
.owl,Web Ontology Language,
.wast,WebAssembly,
.wat,WebAssembly,
.wit,WebAssembly Interface Type,
.webidl,WebIDL,
.vtt,WebVTT,
.whiley,Whiley,
.mediawiki,Wikitext,
.wiki,Wikitext,
.wikitext,Wikitext,
.mc,Win32 Message File,
.reg,Windows Registry Entries,
.ws,Witcher Script,
.wlk,Wollok,
.toc,World of Warcraft Addon Data,
.wren,Wren,
.xbm,X BitMap,
.xpm,X PixMap,
.pm,X PixMap,
.x10,X10,
.xc,XC,
.xml,XML,xml
.adml,XML,xml
.admx,XML,xml
.ant,XML,xml
.axaml,XML,xml
.axml,XML,xml
.builds,XML,xml
.ccproj,XML,xml
.ccxml,XML,xml
.clixml,XML,xml
.cproject,XML,xml
.cscfg,XML,xml
.csdef,XML,xml
.csl,XML,xml
.csproj,XML,xml
.ct,XML,xml
.depproj,XML,xml
.dita,XML,xml
.ditamap,XML,xml
.ditaval,XML,xml
.dll.config,XML,xml
.dotsettings,XML,xml
.filters,XML,xml
.fsproj,XML,xml
.fxml,XML,xml
.glade,XML,xml
.gml,XML,xml
.gmx,XML,xml
.gpx,XML,xml
.grxml,XML,xml
.gst,XML,xml
.hzp,XML,xml
.iml,XML,xml
.ivy,XML,xml
.jelly,XML,xml
.jsproj,XML,xml
.kml,XML,xml
.launch,XML,xml
.mdpolicy,XML,xml
.mjml,XML,xml
.mm,XML,xml
.mod,XML,xml
.mojo,XML,xml
.mxml,XML,xml
.natvis,XML,xml
.ncl,XML,xml
.ndproj,XML,xml
.nproj,XML,xml
.nuspec,XML,xml
.odd,XML,xml
.osm,XML,xml
.pkgproj,XML,xml
.pluginspec,XML,xml
.proj,XML,xml
.props,XML,xml
.ps1xml,XML,xml
.psc1,XML,xml
.pt,XML,xml
.qhelp,XML,xml
.rdf,XML,xml
.res,XML,xml
.resx,XML,xml
.rs,XML,xml
.rss,XML,xml
.sch,XML,xml
.scxml,XML,xml
.sfproj,XML,xml
.shproj,XML,xml
.slnx,XML,xml
.srdf,XML,xml
.storyboard,XML,xml
.sublime-snippet,XML,xml
.sw,XML,xml
.targets,XML,xml
.tml,XML,xml
.ts,XML,xml
.tsx,XML,xml
.typ,XML,xml
.ui,XML,xml
.urdf,XML,xml
.ux,XML,xml
.vbproj,XML,xml
.vcxproj,XML,xml
.vsixmanifest,XML,xml
.vssettings,XML,xml
.vstemplate,XML,xml
.vxml,XML,xml
.wixproj,XML,xml
.workflow,XML,xml
.wsdl,XML,xml
.wsf,XML,xml
.wxi,XML,xml
.wxl,XML,xml
.wxs,XML,xml
.x3d,XML,xml
.xacro,XML,xml
.xaml,XML,xml
.xib,XML,xml
.xlf,XML,xml
.xliff,XML,xml
.xmi,XML,xml
.xml.dist,XML,xml
.xmp,XML,xml
.xproj,XML,xml
.xsd,XML,xml
.xspec,XML,xml
.xul,XML,xml
.zcml,XML,xml
.plist,XML Property List,
.stTheme,XML Property List,
.tmCommand,XML Property List,
.tmLanguage,XML Property List,
.tmPreferences,XML Property List,
.tmSnippet,XML Property List,
.tmTheme,XML Property List,
.xsp-config,XPages,
.xsp.metadata,XPages,
.xpl,XProc,
.xproc,XProc,
.xquery,XQuery,
.xq,XQuery,
.xql,XQuery,
.xqm,XQuery,
.xqy,XQuery,
.xs,XS,
.xslt,XSLT,xsl
.xsl,XSLT,xsl
.xojo_code,Xojo,
.xojo_menu,Xojo,
.xojo_report,Xojo,
.xojo_script,Xojo,
.xojo_toolbar,Xojo,
.xojo_window,Xojo,
.xsh,Xonsh,
.xtend,Xtend,
.yml,YAML,yaml
.mir,YAML,yaml
.reek,YAML,yaml
.rviz,YAML,yaml
.sublime-syntax,YAML,yaml
.syntax,YAML,yaml
.yaml,YAML,yaml
.yaml-tmlanguage,YAML,yaml
.yaml.sed,YAML,yaml
.yml.mysql,YAML,yaml
.yang,YANG,
.yar,YARA,
.yara,YARA,
.yasnippet,YASnippet,
.y,Yacc,
.yacc,Yacc,
.yy,Yacc,
.yul,Yul,
.zap,ZAP,
.xzap,ZAP,
.zil,ZIL,
.mud,ZIL,
.zeek,Zeek,
.bro,Zeek,
.zs,ZenScript,
.zep,Zephir,
.zig,Zig,
.zig.zon,Zig,
.zimpl,Zimpl,
.zmpl,Zimpl,
.zpl,Zimpl,
.zmodel,Zmodel,
.desktop,desktop,
.desktop.in,desktop,
.service,desktop,
.dircolors,dircolors,
.ec,eC,
.eh,eC,
.edn,edn,
.fish,fish,
.hoon,hoon,
.ics,iCalendar,
.ical,iCalendar,
.jq,jq,
.kv,kvlang,
.mrc,mIRC Script,
.mcfunction,mcfunction,
.svx,mdsvex,
.mu,mupad,
.nanorc,nanorc,
.nc,nesC,
.ooc,ooc,
.q,q,
.rst,reStructuredText,
.rest,reStructuredText,
.rest.txt,reStructuredText,
.rst.txt,reStructuredText,
.sed,sed,
.templ,templ,
.vcf,vCard,
.wisp,wisp,
.prg,xBase,
.ch,xBase,
.prw,xBase,
